customer_id,first_name,last_name,email,phone_no
CUST001,Rahul,Sharma,rahul.sharma@gmail.com,9876543210
CUST002,Anita,Verma,anita.verma@gmail.com,9123456780
CUST003,Arjun,Menon,arjun.menon@gmail.com,9847012345
CUST004,Priya,Iyer,priya.iyer@gmail.com,9034567891
CUST005,Sameer,Khan,sameer.khan@gmail.com,9988776655
CUST006,Neha,Patel,neha.patel@gmail.com,9090909090
CUST007,Vikram,Singh,vikram.singh@gmail.com,9812345678
CUST008,Aishwarya,Rao,aishwarya.rao@gmail.com,9700123456
CUST009,Karthik,Nair,karthik.nair@gmail.com,9445566778
CUST010,Pooja,Gupta,pooja.gupta@gmail.com,9167890123
customer_id,first_name,last_name,email,phone_no
1,John,Doe,john.doe@example.com,9876543210
2,Jane,Smith,jane.smith@example.com,9876543211
3,Robert,Johnson,robert.johnson@example.com,9876543212
4,Mary,Williams,mary.williams@example.com,9876543213
5,Michael,Brown,michael.brown@example.com,9876543214
1,John,Doe,john.doe@example.com,9876543210
2,Jane,Smith,jane.smith@example.com,9876543211
3,Robert,Johnson,robert.johnson@example.com,9876543212
4,Mary,Williams,mary.williams@example.com,9876543213
5,Michael,Brown,michael.brown@example.com,9876543214
